code_new,metrics,definitions
qfs05,Fires at locations with smoke alarms installed,Total number of fires (NFIRS codes 100 to 173) in the fiscal year at locations with smoke alarms installed.
qfs05_01,Fires at locations with smoke alarms installed as a percentage of total fires,[Fires at locations with smoke alarms installed] divided by [Fires] and multiplied by 100.
qfs06,Fires at inspectable buildings,Total number of fires (NFIRS codes 100 to 173) in the fiscal year at commercial buildings.
qfs06_01,Fires at inspectable buildings as a percentage of total fires,[Fires at inspectable buildings] divided by [Fires] and multiplied by 100.
qfs07,Unintentional fires,Total number of unintentional fires (NFIRS cause of ignition = 2) in the fiscal year.
qfs07_01,Unintentional fires as a percentage of total fires,[Unintentional fires] divided by [Fires] and multiplied by 100.
qfs08,Fire dispatch time at the 90th percentile,"Total number of seconds at the 90th percentile from when a call is received to when a dispatcher alerts a fire unit of fire (NFIRS codes 100 to 173). This includes “Call Pickup Time” and “Call Processing Time,” as reported to the NFIRS."
qfs09,Fire turnout time at the 90th percentile,"Total number of seconds at the 90th percentile from when a dispatcher alerts a fire unit of a fire (NFIRS codes 100 to 173) emergency to when the unit leaves the fire station, as reported to the NFIRS."
qfs10,Fire travel time at the 90th percentile,"Total travel time in seconds at the 90th percentile of the first arriving unit of a fire (NFIRS codes 100 to 173). The time interval begins when a unit is en route to an emergency incident and ends when the unit arrives at the scene. “En route” may be tracked via CAD or radio notification or GPS marking (preferred).
."
qfs11,Fire response time at the 90th percentile,"Total response time in seconds at the 90th percentile from when a call is received to when the first unit arrives on the scene of fire (NFIRS codes 100 to 173). This includes “Call Pickup Time” and “Call Processing Time,” as reported to the NFIRS. It is also referred to as “Total Response Time 1st Unit” by accreditation agencies."
qfs12,Time from arrival to first water on fire at the 90th percentile (optional),Total response time in seconds at the 90th percentile from when the first apparatus with suppression capabilities arrives at fire (NFIRS codes 100 to 173) to when “water on fire” is announced by the primary attack line or incident commander. (This is timestamped by the dispatch center and added to the CAD incident report.).
qfs13,Time from arrival to incident stabilization at the 90th percentile (optional),"Total response time in seconds at the 90th percentile from when the first suppression unit arrives on scene (NFIRS codes 100 to 173) to when the situation is reported to be under control or the process of loss has been stopped. (This is timestamped by the dispatch center and added to the CAD incident report.) For a structure fire, this is commonly accepted to be the stop loss or “control time.” For a vehicle accident with entrapment, this is commonly accepted to be the extrication time. “Under control” is a tactical benchmark that is typically captured in the CAD notes kept during an emergency event. "
qfs14,Non-fire dispatch time for the 90th percentile,"Number of seconds from when a call is received to when a dispatcher alerts a fire unit of a non-fire incident (NFIRS code series 200s, 300s, 400s, 500s, 600s, 700s, 800s, and 900s). This includes “Call Pickup Time” and “Call Processing Time,” as reported to the NFIRS."
qfs15,Non-fire turnout time for the 90th percentile,"Number of seconds elapsed from when a dispatcher alerts a fire unit of a non-fire incident (NFIRS code series 200s, 300s, 400s, 500s, 600s, 700s, 800s, and 900s) to when the unit leaves the fire station, as reported to the NFIRS."
qfs16,Non-fire travel time for the 90th percentile,"Total travel time in seconds of the first arriving unit of a non-fire incident (NFIRS code series 200s, 300s, 400s, 500s, 600s, 700s, 800s, and 900s). The time interval begins when a unit is en route to an emergency incident and ends when the unit arrives at the scene. “En route” may be tracked via CAD or radio notification or GPS marking (preferred).
."
qfs17,Non-fire response time for the 90th percentile,"Total response time in seconds from when a call is received to when the first unit arrives on the scene of a non-fire incident (NFIRS code series 200s, 300s, 400s, 500s, 600s, 700s, 800s, and 900s). This includes “Call Pickup Time” and “Call Processing Time,” as reported to the NFIRS. It is also referred to as “Total Response Time 1st Unit” by accreditation agencies."
qfs18,Fires confined to rooms of origin,Structure fires (NFIRS codes 111 to 123) in the fiscal year with a “fire spread” equal to 2.
qfs18_01,Fires confined to rooms of origin as a percentage of structure fires,[Fires confined to rooms of origin] divided by [Structure fires] and multiplied by 100.
qfs19,Fires confined to objects of origin,Structure fires (NFIRS codes 111 to 123) in the fiscal year with a “fire spread” equal to 1 or N.
qfs19_01,Fires confined to objects of origin as a percentage of structure fires,[Fires confined to objects of origin] divided by [Structure fires] and multiplied by 100.
qfs20,Property value saved,Total property value amount saved during fire calls (NFIRS codes 100 to 173) in the fiscal year.
qfs20_01,Property value saved per capita,"[Property value saved] divided by [Population, 2020]."
qfs21,Civilian injuries,"Total number of civilian injuries due to fire incidents in the fiscal year, as reported to the NFIRS."
qfs21_01,Civilian injuries per fire,[Civilian injuries] divided by [Fires] and multiplied by 100.
qfs22,Civilian deaths,"Total number of civilian deaths due to fire incidents in the fiscal year, as reported to the NFIRS."
qfs22_01,Civilian deaths per fire,[Civilian deaths] divided by [Fires] and multiplied by 100.
qfs23,CPRs administered,Total number of CPR or defibrillation procedures performed by fire personnel in the fiscal year before leaving scene or arriving at hospital.
qfs23_01,CPRs administered per capita,"[CPRs administered] divided by [Population, 2020] and multiplied by 100."
qfs24,Successful CPRs,"Total number of instances in the fiscal year in which an individual experiences a return of spontaneous circulation (ROSC) because of fire-personnel intervention (using CPR, a defibrillator, etc.) before leaving scene or arriving at hospital."
qfs24_01,Successful CPRs as a percentage of CPRs administered,[Successful CPRs] divided by [CPRs administered] and multiplied by 100.
qfs25,Smoke alarms installed,"Total number of smoke alarms installed in the fiscal year, as reported for the NC Fire & Life Safety Education Report. This includes new and replacement smoke alarms."
qfs25_01,Smoke alarms installed per capita,"[Smoke alarms installed] divided by [Population, 2020]."
qfs26,Smoke alarm batteries replaced,"Total number of smoke alarm batteries replaced in the fiscal year, as reported for the NC Fire & Life Safety Education Report."
qfs26_01,Smoke alarm batteries replaced as a percentage of alarms installed,[Smoke alarm batteries replaced] divided by [Smoke alarms installed] and multiplied by 100.
qfs27,Education outreach participation for ages 18 and under,"Total number of individuals ages 18 and under participating in education outreach events in the fiscal year, as reported for the NC Fire & Life Safety Education Report."
